date,category,text,text_kalenderwoche,pfeil_kalenderwoche,pfeil_day_of_week
01.10.19,Parlament tagt,,,,
02.10.19,Parlament tagt,,,,
03.10.19,Parlament tagt,,,,
04.10.19,Parlament tagt nicht,,,,
05.10.19,Parlament tagt nicht,,,,
06.10.19,Parlament tagt nicht,,,,
07.10.19,Parlament tagt,,,,
08.10.19,Parlament tagt,Parlament suspendiert,40,41,2
09.10.19,Parlament suspendiert,,,,
10.10.19,Parlament suspendiert,,,,
11.10.19,Parlament tagt nicht,,,,
12.10.19,Parlament tagt nicht,,,,
13.10.19,Parlament tagt nicht,,,,
14.10.19,Parlament tagt,Queen's Speech,41,42,1
15.10.19,Parlament tagt,,,,
16.10.19,Parlament tagt,,,,
17.10.19,Parlament tagt,EU-Gipfel,42,42,4
18.10.19,Parlament tagt nicht,,,,
19.10.19,Parlament tagt,Sondersitzung,43,42,6
20.10.19,Parlament tagt nicht,,,,
21.10.19,Parlament tagt,,,,
22.10.19,Parlament tagt,,,,
23.10.19,Parlament tagt,,,,
24.10.19,Parlament tagt,,,,
25.10.19,Parlament tagt nicht,,,,
26.10.19,Parlament tagt nicht,,,,
27.10.19,Parlament tagt nicht,,,,
28.10.19,Parlament tagt,,,,
29.10.19,Parlament tagt,,,,
30.10.19,Parlament tagt,,,,
31.10.19,Austrittstermin,geplantes Brexit-Datum,44,44,4
